Title,Latitude,Longitude
Abram,35.52346,-78.346821
Dick,35.52346,-78.346821
Solomon,35.52346,-78.346821
Virgil,35.52346,-78.346821
Emsley,35.52346,-78.346821
Elisha,35.52346,-78.346821
Daniel,35.52346,-78.346821
Jerry,35.52346,-78.346821
Peggy,35.52346,-78.346821
Peter,35.52346,-78.346821
Cashus,35.52346,-78.346821
Zeb,35.52346,-78.346821
Jacob,35.524359,-76.826018
Judy,35.524359,-76.826018
Bill,35.524359,-76.826018
George,35.524359,-76.826018
Simon,35.524359,-76.826018
Tom,35.524359,-76.826018
Moses,35.524359,-76.826018
Caesar,35.524359,-76.826018
Ruth,35.524359,-76.826018
Abram,35.524359,-76.826018
Pluto,35.524359,-76.826018
Hardy,35.524359,-76.826018
Aaron,35.524359,-76.826018
David,35.524359,-76.826018
Brister,35.524359,-76.826018
Harry,35.524359,-76.826018
Ben,35.524359,-76.826018
Nelly,35.524359,-76.826018
Toney,35.524359,-76.826018
Albert,35.524359,-76.826018
Drew,35.524359,-76.826018
Molly,35.583556,-82.532611
George,35.583556,-82.532611
Peter,35.583556,-82.532611
Dick,35.583556,-82.532611
Stephen,35.664312,-81.224286
Dean,35.716365,-79.174525
Peter,35.716365,-79.174525
Charles,35.716365,-79.174525
Harry,35.716365,-79.174525
Toby,35.716365,-79.174525
Bob,35.716365,-79.174525
Simon,35.716365,-79.174525
Peggy,35.716365,-79.174525
Israel,35.716365,-79.174525
Anthony,35.716365,-79.174525
Willis,35.716365,-79.174525
Philip,35.716365,-79.174525
Calvin,35.716365,-79.174525
Jim,35.716365,-79.174525
Aaron,35.716365,-79.174525
Jacob,35.716365,-79.174525
Juno,35.716365,-79.174525
Jim,35.733566,-81.685873
Harry,35.733566,-81.685873
Dave,35.733566,-81.685873
George,35.733566,-81.685873
Richard,35.733566,-81.685873
Clayton,35.782302,-78.665538
Tom,35.782302,-78.665538
Jim,35.782302,-78.665538
Olive,35.782302,-78.665538
Sooky,35.782302,-78.665538
Bob,35.782302,-78.665538
Allen,35.782302,-78.665538
Simon,35.782302,-78.665538
Judy,35.782302,-78.665538
Godfrey,35.782302,-78.665538
George,35.782302,-78.665538
Ben,35.782302,-78.665538
Wake,35.782302,-78.665538
John,35.782302,-78.665538
Robbin,35.782302,-78.665538
Willie,35.782302,-78.665538
Lewis,35.782302,-78.665538
Hubbard,35.782302,-78.665538
Harry,35.782302,-78.665538
Bill,35.782302,-78.665538
Ned,35.782302,-78.665538
Martin,35.782302,-78.665538
Stephen,35.782302,-78.665538
Peter,35.782302,-78.665538
Edith,35.782302,-78.665538
Ransom,35.782302,-78.665538
Charles,35.782302,-78.665538
Sylvia,35.782302,-78.665538
Virgil,35.782302,-78.665538
Fanny,35.782302,-78.665538
Dick,35.782302,-78.665538
Rosetta,35.782302,-78.665538
Sally,35.782302,-78.665538
Bet,35.782302,-78.665538
Romulus,35.782302,-78.665538
Willis,35.782302,-78.665538
Tamar,35.782302,-78.665538
Aaron,35.782302,-78.665538
Nancy,35.782302,-78.665538
Davy,35.782302,-78.665538
Isaac,35.782302,-78.665538
Calvin,35.782302,-78.665538
David,35.782302,-78.665538
Washington,35.782302,-78.665538
Pete,35.782302,-78.665538
Jo,35.782302,-78.665538
Daniel,35.782302,-78.665538
Joe,35.782302,-78.665538
Needham,35.782302,-78.665538
Tempy,35.782302,-78.665538
Emily,35.782302,-78.665538
Dempsey,35.782302,-78.665538
Jerry,35.782302,-78.665538
Henry,35.782302,-78.665538
Martha,35.782302,-78.665538
Delia,35.782302,-78.665538
Dave,35.782302,-78.665538
Tim,35.782302,-78.665538
Abraham,35.782302,-78.665538
Grace,35.782302,-78.665538
Jinsey,35.782302,-78.665538
Toby,35.782302,-78.665538
Cato,35.782302,-78.665538
Luke,35.782302,-78.665538
Dilly,35.782302,-78.665538
Wincy,35.782302,-78.665538
Weston,35.782302,-78.665538
Lucy,35.782302,-78.665538
Sterling,35.782302,-78.665538
Lunnon,35.794485,-80.846452
Isaac,35.794485,-80.846452
James,35.794485,-80.846452
Bill,35.794485,-80.846452
Peter,35.794485,-80.846452
Aaron,35.794485,-80.846452
Abraham,35.794485,-80.846452
Nicodemus,35.794485,-80.846452
Abram,35.794485,-80.846452
Adam,35.814243,-80.256418
Abraham,35.814243,-80.256418
Macy,35.814243,-80.256418
Bill,35.814243,-80.256418
George,35.901375,-77.551817
Temp,35.901375,-77.551817
Jack,35.901375,-77.551817
Allen,35.901375,-77.551817
Daniel,35.901375,-77.551817
Isaac,35.901375,-77.551817
Tim,35.901375,-77.551817
Washington,35.901375,-77.551817
Rickey,35.901375,-77.551817
Jacob,35.901375,-77.551817
Silas,35.901375,-77.551817
Steward,35.901375,-77.551817
Moses,35.901375,-77.551817
Pherbie,35.901375,-77.551817
Sam,35.901375,-77.551817
Dason,35.901375,-77.551817
Harry,35.901375,-77.551817
Isham,35.901375,-77.551817
Will,35.901375,-77.551817
Petyon,35.901375,-77.551817
John,35.901375,-77.551817
Siller,35.901375,-77.551817
Davy,35.901375,-77.551817
Bryant,35.901375,-77.551817
Judy,35.901375,-77.551817
Alfred,35.901375,-77.551817
Miles,35.901375,-77.551817
Dick,35.901375,-77.551817
Rose,35.901375,-77.551817
Allen,35.965723,-77.963665
Toney,35.965723,-77.963665
Guy,35.965723,-77.963665
Decatur,35.965723,-77.963665
Daniel,35.965723,-77.963665
Jack,35.965723,-77.963665
Harry,35.965723,-77.963665
Bettey,35.965723,-77.963665
Burrel,35.965723,-77.963665
Gray,35.965723,-77.963665
Tom,35.965723,-77.963665
Caleb,36.082547,-79.790064
Judy,36.082547,-79.790064
Vina,36.082547,-79.790064
Kit,36.082547,-79.790064
Davy,36.082547,-79.790064
Ned,36.082547,-79.790064
Thornton,36.082547,-79.790064
James,36.094733,-78.300566
Phill,36.094733,-78.300566
Jim,36.094733,-78.300566
Gloster,36.094733,-78.300566
Granderson,36.094733,-78.300566
Guilford,36.094733,-78.300566
Tom,36.094733,-78.300566
unknown,36.094733,-78.300566
Cyrus,36.094733,-78.300566
Jenny,36.094733,-78.300566
Alfred,36.094733,-78.300566
Charles,36.400137,-79.349445
Bartlet,36.400137,-79.349445
Ned,36.400137,-79.349445
Jerry,36.400137,-79.349445
Caleb,36.400137,-79.349445
Jack,36.400137,-79.349445
Tom,36.400137,-79.349445
Samuel,36.400137,-79.349445
Arnold,36.400137,-79.349445
Virgil,36.400137,-79.349445
Warner,36.400137,-79.349445
Jane,36.400137,-79.349445
